bfly21_tmp(1)=-2048+j0, temp_bfly21(1)=-524288+j0, bfly21(1)=-2048+j0
bfly21_tmp(2)=0+j0, temp_bfly21(2)=0+j0, bfly21(2)=0+j0
bfly21_tmp(3)=-2048+j0, temp_bfly21(3)=-524288+j0, bfly21(3)=-2048+j0
bfly21_tmp(4)=0+j0, temp_bfly21(4)=0+j0, bfly21(4)=0+j0
bfly21_tmp(5)=-2048+j0, temp_bfly21(5)=-524288+j0, bfly21(5)=-2048+j0
bfly21_tmp(6)=0+j0, temp_bfly21(6)=0+j0, bfly21(6)=0+j0
bfly21_tmp(7)=-2048+j0, temp_bfly21(7)=-524288+j0, bfly21(7)=-2048+j0
bfly21_tmp(8)=0+j0, temp_bfly21(8)=0+j0, bfly21(8)=0+j0
bfly21_tmp(9)=-2048+j0, temp_bfly21(9)=-524288+j0, bfly21(9)=-2048+j0
bfly21_tmp(10)=0+j0, temp_bfly21(10)=0+j0, bfly21(10)=0+j0
bfly21_tmp(11)=-2048+j0, temp_bfly21(11)=-524288+j0, bfly21(11)=-2048+j0
bfly21_tmp(12)=0+j0, temp_bfly21(12)=0+j0, bfly21(12)=0+j0
bfly21_tmp(13)=-2048+j0, temp_bfly21(13)=-524288+j0, bfly21(13)=-2048+j0
bfly21_tmp(14)=0+j0, temp_bfly21(14)=0+j0, bfly21(14)=0+j0
bfly21_tmp(15)=-2048+j0, temp_bfly21(15)=-524288+j0, bfly21(15)=-2048+j0
bfly21_tmp(16)=0+j0, temp_bfly21(16)=0+j0, bfly21(16)=0+j0
bfly21_tmp(17)=-2048+j0, temp_bfly21(17)=-524288+j0, bfly21(17)=-2048+j0
bfly21_tmp(18)=0+j0, temp_bfly21(18)=0+j0, bfly21(18)=0+j0
bfly21_tmp(19)=-2048+j0, temp_bfly21(19)=-524288+j0, bfly21(19)=-2048+j0
bfly21_tmp(20)=0+j0, temp_bfly21(20)=0+j0, bfly21(20)=0+j0
bfly21_tmp(21)=-2048+j0, temp_bfly21(21)=-524288+j0, bfly21(21)=-2048+j0
bfly21_tmp(22)=0+j0, temp_bfly21(22)=0+j0, bfly21(22)=0+j0
bfly21_tmp(23)=-2048+j0, temp_bfly21(23)=-524288+j0, bfly21(23)=-2048+j0
bfly21_tmp(24)=0+j0, temp_bfly21(24)=0+j0, bfly21(24)=0+j0
bfly21_tmp(25)=-2048+j0, temp_bfly21(25)=-524288+j0, bfly21(25)=-2048+j0
bfly21_tmp(26)=0+j0, temp_bfly21(26)=0+j0, bfly21(26)=0+j0
bfly21_tmp(27)=-2048+j0, temp_bfly21(27)=-524288+j0, bfly21(27)=-2048+j0
bfly21_tmp(28)=0+j0, temp_bfly21(28)=0+j0, bfly21(28)=0+j0
bfly21_tmp(29)=-2048+j0, temp_bfly21(29)=-524288+j0, bfly21(29)=-2048+j0
bfly21_tmp(30)=0+j0, temp_bfly21(30)=0+j0, bfly21(30)=0+j0
bfly21_tmp(31)=-2048+j0, temp_bfly21(31)=-524288+j0, bfly21(31)=-2048+j0
bfly21_tmp(32)=0+j0, temp_bfly21(32)=0+j0, bfly21(32)=0+j0
bfly21_tmp(33)=-2048+j0, temp_bfly21(33)=-524288+j0, bfly21(33)=-2048+j0
bfly21_tmp(34)=0+j0, temp_bfly21(34)=0+j0, bfly21(34)=0+j0
bfly21_tmp(35)=-2048+j0, temp_bfly21(35)=-524288+j0, bfly21(35)=-2048+j0
bfly21_tmp(36)=0+j0, temp_bfly21(36)=0+j0, bfly21(36)=0+j0
bfly21_tmp(37)=-2048+j0, temp_bfly21(37)=-524288+j0, bfly21(37)=-2048+j0
bfly21_tmp(38)=0+j0, temp_bfly21(38)=0+j0, bfly21(38)=0+j0
bfly21_tmp(39)=-2048+j0, temp_bfly21(39)=-524288+j0, bfly21(39)=-2048+j0
bfly21_tmp(40)=0+j0, temp_bfly21(40)=0+j0, bfly21(40)=0+j0
bfly21_tmp(41)=-2048+j0, temp_bfly21(41)=-524288+j0, bfly21(41)=-2048+j0
bfly21_tmp(42)=0+j0, temp_bfly21(42)=0+j0, bfly21(42)=0+j0
bfly21_tmp(43)=-2048+j0, temp_bfly21(43)=-524288+j0, bfly21(43)=-2048+j0
bfly21_tmp(44)=0+j0, temp_bfly21(44)=0+j0, bfly21(44)=0+j0
bfly21_tmp(45)=-2048+j0, temp_bfly21(45)=-524288+j0, bfly21(45)=-2048+j0
bfly21_tmp(46)=0+j0, temp_bfly21(46)=0+j0, bfly21(46)=0+j0
bfly21_tmp(47)=-2048+j0, temp_bfly21(47)=-524288+j0, bfly21(47)=-2048+j0
bfly21_tmp(48)=0+j0, temp_bfly21(48)=0+j0, bfly21(48)=0+j0
bfly21_tmp(49)=-2048+j0, temp_bfly21(49)=-524288+j0, bfly21(49)=-2048+j0
bfly21_tmp(50)=0+j0, temp_bfly21(50)=0+j0, bfly21(50)=0+j0
bfly21_tmp(51)=-2048+j0, temp_bfly21(51)=-524288+j0, bfly21(51)=-2048+j0
bfly21_tmp(52)=0+j0, temp_bfly21(52)=0+j0, bfly21(52)=0+j0
bfly21_tmp(53)=-2048+j0, temp_bfly21(53)=-524288+j0, bfly21(53)=-2048+j0
bfly21_tmp(54)=0+j0, temp_bfly21(54)=0+j0, bfly21(54)=0+j0
bfly21_tmp(55)=-2048+j0, temp_bfly21(55)=-524288+j0, bfly21(55)=-2048+j0
bfly21_tmp(56)=0+j0, temp_bfly21(56)=0+j0, bfly21(56)=0+j0
bfly21_tmp(57)=-2048+j0, temp_bfly21(57)=-524288+j0, bfly21(57)=-2048+j0
bfly21_tmp(58)=0+j0, temp_bfly21(58)=0+j0, bfly21(58)=0+j0
bfly21_tmp(59)=-2048+j0, temp_bfly21(59)=-524288+j0, bfly21(59)=-2048+j0
bfly21_tmp(60)=0+j0, temp_bfly21(60)=0+j0, bfly21(60)=0+j0
bfly21_tmp(61)=-2048+j0, temp_bfly21(61)=-524288+j0, bfly21(61)=-2048+j0
bfly21_tmp(62)=0+j0, temp_bfly21(62)=0+j0, bfly21(62)=0+j0
bfly21_tmp(63)=-2048+j0, temp_bfly21(63)=-524288+j0, bfly21(63)=-2048+j0
bfly21_tmp(64)=0+j0, temp_bfly21(64)=0+j0, bfly21(64)=0+j0
bfly21_tmp(65)=-2048+j0, temp_bfly21(65)=-524288+j0, bfly21(65)=-2048+j0
bfly21_tmp(66)=0+j0, temp_bfly21(66)=0+j0, bfly21(66)=0+j0
bfly21_tmp(67)=-2048+j0, temp_bfly21(67)=-524288+j0, bfly21(67)=-2048+j0
bfly21_tmp(68)=0+j0, temp_bfly21(68)=0+j0, bfly21(68)=0+j0
bfly21_tmp(69)=-2048+j0, temp_bfly21(69)=-524288+j0, bfly21(69)=-2048+j0
bfly21_tmp(70)=0+j0, temp_bfly21(70)=0+j0, bfly21(70)=0+j0
bfly21_tmp(71)=-2048+j0, temp_bfly21(71)=-524288+j0, bfly21(71)=-2048+j0
bfly21_tmp(72)=0+j0, temp_bfly21(72)=0+j0, bfly21(72)=0+j0
bfly21_tmp(73)=-2048+j0, temp_bfly21(73)=-524288+j0, bfly21(73)=-2048+j0
bfly21_tmp(74)=0+j0, temp_bfly21(74)=0+j0, bfly21(74)=0+j0
bfly21_tmp(75)=-2048+j0, temp_bfly21(75)=-524288+j0, bfly21(75)=-2048+j0
bfly21_tmp(76)=0+j0, temp_bfly21(76)=0+j0, bfly21(76)=0+j0
bfly21_tmp(77)=-2048+j0, temp_bfly21(77)=-524288+j0, bfly21(77)=-2048+j0
bfly21_tmp(78)=0+j0, temp_bfly21(78)=0+j0, bfly21(78)=0+j0
bfly21_tmp(79)=-2048+j0, temp_bfly21(79)=-524288+j0, bfly21(79)=-2048+j0
bfly21_tmp(80)=0+j0, temp_bfly21(80)=0+j0, bfly21(80)=0+j0
bfly21_tmp(81)=-2048+j0, temp_bfly21(81)=-524288+j0, bfly21(81)=-2048+j0
bfly21_tmp(82)=0+j0, temp_bfly21(82)=0+j0, bfly21(82)=0+j0
bfly21_tmp(83)=-2048+j0, temp_bfly21(83)=-524288+j0, bfly21(83)=-2048+j0
bfly21_tmp(84)=0+j0, temp_bfly21(84)=0+j0, bfly21(84)=0+j0
bfly21_tmp(85)=-2048+j0, temp_bfly21(85)=-524288+j0, bfly21(85)=-2048+j0
bfly21_tmp(86)=0+j0, temp_bfly21(86)=0+j0, bfly21(86)=0+j0
bfly21_tmp(87)=-2048+j0, temp_bfly21(87)=-524288+j0, bfly21(87)=-2048+j0
bfly21_tmp(88)=0+j0, temp_bfly21(88)=0+j0, bfly21(88)=0+j0
bfly21_tmp(89)=-2048+j0, temp_bfly21(89)=-524288+j0, bfly21(89)=-2048+j0
bfly21_tmp(90)=0+j0, temp_bfly21(90)=0+j0, bfly21(90)=0+j0
bfly21_tmp(91)=-2048+j0, temp_bfly21(91)=-524288+j0, bfly21(91)=-2048+j0
bfly21_tmp(92)=0+j0, temp_bfly21(92)=0+j0, bfly21(92)=0+j0
bfly21_tmp(93)=-2048+j0, temp_bfly21(93)=-524288+j0, bfly21(93)=-2048+j0
bfly21_tmp(94)=0+j0, temp_bfly21(94)=0+j0, bfly21(94)=0+j0
bfly21_tmp(95)=-2048+j0, temp_bfly21(95)=-524288+j0, bfly21(95)=-2048+j0
bfly21_tmp(96)=0+j0, temp_bfly21(96)=0+j0, bfly21(96)=0+j0
bfly21_tmp(97)=-2048+j0, temp_bfly21(97)=-524288+j0, bfly21(97)=-2048+j0
bfly21_tmp(98)=0+j0, temp_bfly21(98)=0+j0, bfly21(98)=0+j0
bfly21_tmp(99)=-2048+j0, temp_bfly21(99)=-524288+j0, bfly21(99)=-2048+j0
bfly21_tmp(100)=0+j0, temp_bfly21(100)=0+j0, bfly21(100)=0+j0
bfly21_tmp(101)=-2048+j0, temp_bfly21(101)=-524288+j0, bfly21(101)=-2048+j0
bfly21_tmp(102)=0+j0, temp_bfly21(102)=0+j0, bfly21(102)=0+j0
bfly21_tmp(103)=-2048+j0, temp_bfly21(103)=-524288+j0, bfly21(103)=-2048+j0
bfly21_tmp(104)=0+j0, temp_bfly21(104)=0+j0, bfly21(104)=0+j0
bfly21_tmp(105)=-2048+j0, temp_bfly21(105)=-524288+j0, bfly21(105)=-2048+j0
bfly21_tmp(106)=0+j0, temp_bfly21(106)=0+j0, bfly21(106)=0+j0
bfly21_tmp(107)=-2048+j0, temp_bfly21(107)=-524288+j0, bfly21(107)=-2048+j0
bfly21_tmp(108)=0+j0, temp_bfly21(108)=0+j0, bfly21(108)=0+j0
bfly21_tmp(109)=-2048+j0, temp_bfly21(109)=-524288+j0, bfly21(109)=-2048+j0
bfly21_tmp(110)=0+j0, temp_bfly21(110)=0+j0, bfly21(110)=0+j0
bfly21_tmp(111)=-2048+j0, temp_bfly21(111)=-524288+j0, bfly21(111)=-2048+j0
bfly21_tmp(112)=0+j0, temp_bfly21(112)=0+j0, bfly21(112)=0+j0
bfly21_tmp(113)=-2048+j0, temp_bfly21(113)=-524288+j0, bfly21(113)=-2048+j0
bfly21_tmp(114)=0+j0, temp_bfly21(114)=0+j0, bfly21(114)=0+j0
bfly21_tmp(115)=-2048+j0, temp_bfly21(115)=-524288+j0, bfly21(115)=-2048+j0
bfly21_tmp(116)=0+j0, temp_bfly21(116)=0+j0, bfly21(116)=0+j0
bfly21_tmp(117)=-2048+j0, temp_bfly21(117)=-524288+j0, bfly21(117)=-2048+j0
bfly21_tmp(118)=0+j0, temp_bfly21(118)=0+j0, bfly21(118)=0+j0
bfly21_tmp(119)=-2048+j0, temp_bfly21(119)=-524288+j0, bfly21(119)=-2048+j0
bfly21_tmp(120)=0+j0, temp_bfly21(120)=0+j0, bfly21(120)=0+j0
bfly21_tmp(121)=-2048+j0, temp_bfly21(121)=-524288+j0, bfly21(121)=-2048+j0
bfly21_tmp(122)=0+j0, temp_bfly21(122)=0+j0, bfly21(122)=0+j0
bfly21_tmp(123)=-2048+j0, temp_bfly21(123)=-524288+j0, bfly21(123)=-2048+j0
bfly21_tmp(124)=0+j0, temp_bfly21(124)=0+j0, bfly21(124)=0+j0
bfly21_tmp(125)=-2048+j0, temp_bfly21(125)=-524288+j0, bfly21(125)=-2048+j0
bfly21_tmp(126)=0+j0, temp_bfly21(126)=0+j0, bfly21(126)=0+j0
bfly21_tmp(127)=-2048+j0, temp_bfly21(127)=-524288+j0, bfly21(127)=-2048+j0
bfly21_tmp(128)=0+j0, temp_bfly21(128)=0+j0, bfly21(128)=0+j0
bfly21_tmp(129)=-2048+j0, temp_bfly21(129)=-524288+j0, bfly21(129)=-2048+j0
bfly21_tmp(130)=0+j0, temp_bfly21(130)=0+j0, bfly21(130)=0+j0
bfly21_tmp(131)=-2048+j0, temp_bfly21(131)=-524288+j0, bfly21(131)=-2048+j0
bfly21_tmp(132)=0+j0, temp_bfly21(132)=0+j0, bfly21(132)=0+j0
bfly21_tmp(133)=-2048+j0, temp_bfly21(133)=-524288+j0, bfly21(133)=-2048+j0
bfly21_tmp(134)=0+j0, temp_bfly21(134)=0+j0, bfly21(134)=0+j0
bfly21_tmp(135)=-2048+j0, temp_bfly21(135)=-524288+j0, bfly21(135)=-2048+j0
bfly21_tmp(136)=0+j0, temp_bfly21(136)=0+j0, bfly21(136)=0+j0
bfly21_tmp(137)=-2048+j0, temp_bfly21(137)=-524288+j0, bfly21(137)=-2048+j0
bfly21_tmp(138)=0+j0, temp_bfly21(138)=0+j0, bfly21(138)=0+j0
bfly21_tmp(139)=-2048+j0, temp_bfly21(139)=-524288+j0, bfly21(139)=-2048+j0
bfly21_tmp(140)=0+j0, temp_bfly21(140)=0+j0, bfly21(140)=0+j0
bfly21_tmp(141)=-2048+j0, temp_bfly21(141)=-524288+j0, bfly21(141)=-2048+j0
