Index	Real	Imag	Magnitude
265	-1	0	1.000000
266	-3	0	3.000000
267	-1	0	1.000000
268	-2	0	2.000000
269	-1	0	1.000000
270	3	-1	3.162278
271	-1	0	1.000000
272	1	-1	1.414214
273	-1	0	1.000000
274	-5	0	5.000000
275	-1	0	1.000000
276	-1	0	1.000000
277	-1	0	1.000000
278	1	-1	1.414214
279	-1	0	1.000000
280	-3	0	3.000000
281	-1	0	1.000000
282	2	2	2.828427
283	-1	0	1.000000
284	-5	-1	5.099020
285	-1	0	1.000000
286	2	0	2.000000
287	-1	0	1.000000
288	-4	-1	4.123106
289	-1	0	1.000000
290	0	1	1.000000
291	-1	0	1.000000
292	2	-1	2.236068
293	-1	0	1.000000
294	-1	-1	1.414214
295	-1	0	1.000000
296	-3	1	3.162278
297	-1	0	1.000000
298	1	0	1.000000
299	-1	0	1.000000
300	-1	0	1.000000
301	-1	0	1.000000
302	4	0	4.000000
303	-1	0	1.000000
304	4	0	4.000000
305	-1	0	1.000000
306	-2	-2	2.828427
307	-1	0	1.000000
308	1	-1	1.414214
309	-1	0	1.000000
310	-2	0	2.000000
311	-1	0	1.000000
312	-5	0	5.000000
313	-1	0	1.000000
314	1	1	1.414214
315	-1	0	1.000000
316	3	-1	3.162278
317	-1	0	1.000000
318	-3	-1	3.162278
319	-1	0	1.000000
320	-8	0	8.000000
321	-1	0	1.000000
322	0	-2	2.000000
323	-1	0	1.000000
324	0	-1	1.000000
325	-1	0	1.000000
326	-3	0	3.000000
327	-1	0	1.000000
328	1	-2	2.236068
329	-1	0	1.000000
330	2	-2	2.828427
331	-1	0	1.000000
332	-3	-1	3.162278
333	-1	0	1.000000
334	-2	0	2.000000
335	-1	0	1.000000
336	-2	2	2.828427
337	-1	0	1.000000
338	1	0	1.000000
339	-1	0	1.000000
340	-2	-1	2.236068
341	-1	0	1.000000
342	1	0	1.000000
343	-1	0	1.000000
344	-1	0	1.000000
345	-1	0	1.000000
346	-1	2	2.236068
347	-1	0	1.000000
348	-1	-1	1.414214
349	-1	0	1.000000
350	-1	-1	1.414214
351	-1	0	1.000000
352	-1	0	1.000000
353	-1	0	1.000000
354	0	-2	2.000000
355	-1	0	1.000000
356	0	-1	1.000000
357	-1	0	1.000000
358	0	-1	1.000000
359	-1	0	1.000000
360	6	2	6.324555
361	-1	0	1.000000
362	0	-2	2.000000
363	-1	0	1.000000
364	-1	0	1.000000
365	-1	0	1.000000
366	0	-1	1.000000
367	-1	0	1.000000
368	-8	0	8.000000
369	-1	0	1.000000
370	1	1	1.414214
371	-1	0	1.000000
372	2	0	2.000000
373	-1	0	1.000000
374	-4	-1	4.123106
375	-1	0	1.000000
376	3	2	3.605551
377	-1	0	1.000000
378	1	-1	1.414214
379	-1	0	1.000000
380	-4	0	4.000000
381	-1	0	1.000000
382	-1	0	1.000000
383	-1	0	1.000000
384	-6	0	6.000000
385	-1	0	1.000000
386	-2	-1	2.236068
387	-1	0	1.000000
388	-3	-1	3.162278
389	-1	0	1.000000
390	2	-1	2.236068
391	-1	0	1.000000
392	3	-5	5.830952
393	-1	0	1.000000
394	-3	-2	3.605551
395	-1	0	1.000000
396	4	-1	4.123106
397	-1	0	1.000000
398	-5	0	5.000000
399	-1	0	1.000000
400	3	-1	3.162278
401	-1	0	1.000000
402	-7	-2	7.280110
403	-1	0	1.000000
404	3	-1	3.162278
405	-1	0	1.000000
406	-1	0	1.000000
407	-1	0	1.000000
408	0	2	2.000000
409	-1	0	1.000000
410	-2	2	2.828427
411	-1	0	1.000000
412	-1	0	1.000000
413	-1	0	1.000000
414	1	-2	2.236068
415	-1	0	1.000000
416	1	-1	1.414214
417	-1	0	1.000000
418	4	-1	4.123106
419	-1	0	1.000000
420	1	0	1.000000
421	-1	0	1.000000
422	-2	0	2.000000
423	-1	0	1.000000
424	-2	0	2.000000
425	-1	0	1.000000
426	-2	-2	2.828427
427	-1	0	1.000000
428	-3	0	3.000000
429	-1	0	1.000000
430	-3	-1	3.162278
431	-1	0	1.000000
432	-7	1	7.071068
433	-1	0	1.000000
434	0	-2	2.000000
435	-1	0	1.000000
436	1	-1	1.414214
437	-1	0	1.000000
438	1	-1	1.414214
439	-1	0	1.000000
440	0	2	2.000000
441	-1	0	1.000000
442	4	0	4.000000
443	-1	0	1.000000
444	-1	-1	1.414214
445	-1	0	1.000000
446	-1	0	1.000000
447	-1	0	1.000000
448	-2	6	6.324555
449	-1	0	1.000000
450	-1	1	1.414214
451	-1	0	1.000000
452	1	-1	1.414214
453	-1	0	1.000000
454	-1	0	1.000000
455	-1	0	1.000000
456	4	-2	4.472136
457	-1	0	1.000000
458	1	-1	1.414214
459	-1	0	1.000000
460	0	0	0.000000
461	-1	0	1.000000
462	-2	-1	2.236068
463	-1	0	1.000000
464	0	1	1.000000
465	-1	0	1.000000
466	-5	-2	5.385165
467	-1	0	1.000000
468	-2	-2	2.828427
469	-1	0	1.000000
470	0	-2	2.000000
471	-1	0	1.000000
472	2	-2	2.828427
473	-1	0	1.000000
474	1	2	2.236068
475	-1	0	1.000000
476	-3	0	3.000000
477	-1	0	1.000000
478	-4	1	4.123106
479	-1	0	1.000000
480	-2	0	2.000000
481	-1	0	1.000000
482	1	1	1.414214
483	-1	0	1.000000
484	-1	-1	1.414214
485	-1	0	1.000000
486	-4	0	4.000000
487	-1	0	1.000000
488	-1	-2	2.236068
489	-1	0	1.000000
490	-1	0	1.000000
491	-1	0	1.000000
492	-2	0	2.000000
493	-1	0	1.000000
494	-1	0	1.000000
495	-1	0	1.000000
496	-1	-1	1.414214
497	-1	0	1.000000
498	3	-1	3.162278
499	-1	0	1.000000
500	3	0	3.000000
501	-1	0	1.000000
502	-1	0	1.000000
503	-1	0	1.000000
504	-5	2	5.385165
505	-1	0	1.000000
506	2	0	2.000000
507	-1	0	1.000000
508	2	0	2.000000
509	-1	0	1.000000
510	2	0	2.000000
511	-1	0	1.000000
512	4091	0	4091.000000
