bfly01_tmp(1)=-1+j0, temp_bfly01(1)=-256+j0, bfly01(1)=-1+j0
bfly01_tmp(2)=0+j0, temp_bfly01(2)=0+j0, bfly01(2)=0+j0
bfly01_tmp(3)=0+j0, temp_bfly01(3)=0+j0, bfly01(3)=0+j0
bfly01_tmp(4)=0+j0, temp_bfly01(4)=0+j0, bfly01(4)=0+j0
bfly01_tmp(5)=0+j0, temp_bfly01(5)=0+j0, bfly01(5)=0+j0
bfly01_tmp(6)=0+j0, temp_bfly01(6)=0+j0, bfly01(6)=0+j0
bfly01_tmp(7)=0+j0, temp_bfly01(7)=0+j0, bfly01(7)=0+j0
bfly01_tmp(8)=0+j0, temp_bfly01(8)=0+j0, bfly01(8)=0+j0
bfly01_tmp(9)=0+j0, temp_bfly01(9)=0+j0, bfly01(9)=0+j0
bfly01_tmp(10)=0+j0, temp_bfly01(10)=0+j0, bfly01(10)=0+j0
bfly01_tmp(11)=0+j0, temp_bfly01(11)=0+j0, bfly01(11)=0+j0
bfly01_tmp(12)=0+j0, temp_bfly01(12)=0+j0, bfly01(12)=0+j0
bfly01_tmp(13)=0+j0, temp_bfly01(13)=0+j0, bfly01(13)=0+j0
bfly01_tmp(14)=0+j0, temp_bfly01(14)=0+j0, bfly01(14)=0+j0
bfly01_tmp(15)=0+j0, temp_bfly01(15)=0+j0, bfly01(15)=0+j0
bfly01_tmp(16)=0+j0, temp_bfly01(16)=0+j0, bfly01(16)=0+j0
bfly01_tmp(17)=0+j0, temp_bfly01(17)=0+j0, bfly01(17)=0+j0
bfly01_tmp(18)=0+j0, temp_bfly01(18)=0+j0, bfly01(18)=0+j0
bfly01_tmp(19)=0+j0, temp_bfly01(19)=0+j0, bfly01(19)=0+j0
bfly01_tmp(20)=0+j0, temp_bfly01(20)=0+j0, bfly01(20)=0+j0
bfly01_tmp(21)=0+j0, temp_bfly01(21)=0+j0, bfly01(21)=0+j0
bfly01_tmp(22)=0+j0, temp_bfly01(22)=0+j0, bfly01(22)=0+j0
bfly01_tmp(23)=0+j0, temp_bfly01(23)=0+j0, bfly01(23)=0+j0
bfly01_tmp(24)=0+j0, temp_bfly01(24)=0+j0, bfly01(24)=0+j0
bfly01_tmp(25)=0+j0, temp_bfly01(25)=0+j0, bfly01(25)=0+j0
bfly01_tmp(26)=0+j0, temp_bfly01(26)=0+j0, bfly01(26)=0+j0
bfly01_tmp(27)=0+j0, temp_bfly01(27)=0+j0, bfly01(27)=0+j0
bfly01_tmp(28)=0+j0, temp_bfly01(28)=0+j0, bfly01(28)=0+j0
bfly01_tmp(29)=0+j0, temp_bfly01(29)=0+j0, bfly01(29)=0+j0
bfly01_tmp(30)=0+j0, temp_bfly01(30)=0+j0, bfly01(30)=0+j0
bfly01_tmp(31)=0+j0, temp_bfly01(31)=0+j0, bfly01(31)=0+j0
bfly01_tmp(32)=0+j0, temp_bfly01(32)=0+j0, bfly01(32)=0+j0
bfly01_tmp(33)=0+j0, temp_bfly01(33)=0+j0, bfly01(33)=0+j0
bfly01_tmp(34)=0+j0, temp_bfly01(34)=0+j0, bfly01(34)=0+j0
bfly01_tmp(35)=0+j0, temp_bfly01(35)=0+j0, bfly01(35)=0+j0
bfly01_tmp(36)=0+j0, temp_bfly01(36)=0+j0, bfly01(36)=0+j0
bfly01_tmp(37)=0+j0, temp_bfly01(37)=0+j0, bfly01(37)=0+j0
bfly01_tmp(38)=0+j0, temp_bfly01(38)=0+j0, bfly01(38)=0+j0
bfly01_tmp(39)=0+j0, temp_bfly01(39)=0+j0, bfly01(39)=0+j0
bfly01_tmp(40)=0+j0, temp_bfly01(40)=0+j0, bfly01(40)=0+j0
bfly01_tmp(41)=0+j0, temp_bfly01(41)=0+j0, bfly01(41)=0+j0
bfly01_tmp(42)=0+j0, temp_bfly01(42)=0+j0, bfly01(42)=0+j0
bfly01_tmp(43)=0+j0, temp_bfly01(43)=0+j0, bfly01(43)=0+j0
bfly01_tmp(44)=0+j0, temp_bfly01(44)=0+j0, bfly01(44)=0+j0
bfly01_tmp(45)=0+j0, temp_bfly01(45)=0+j0, bfly01(45)=0+j0
bfly01_tmp(46)=0+j0, temp_bfly01(46)=0+j0, bfly01(46)=0+j0
bfly01_tmp(47)=0+j0, temp_bfly01(47)=0+j0, bfly01(47)=0+j0
bfly01_tmp(48)=0+j0, temp_bfly01(48)=0+j0, bfly01(48)=0+j0
bfly01_tmp(49)=0+j0, temp_bfly01(49)=0+j0, bfly01(49)=0+j0
bfly01_tmp(50)=0+j0, temp_bfly01(50)=0+j0, bfly01(50)=0+j0
bfly01_tmp(51)=0+j0, temp_bfly01(51)=0+j0, bfly01(51)=0+j0
bfly01_tmp(52)=0+j0, temp_bfly01(52)=0+j0, bfly01(52)=0+j0
bfly01_tmp(53)=0+j0, temp_bfly01(53)=0+j0, bfly01(53)=0+j0
bfly01_tmp(54)=0+j0, temp_bfly01(54)=0+j0, bfly01(54)=0+j0
bfly01_tmp(55)=0+j0, temp_bfly01(55)=0+j0, bfly01(55)=0+j0
bfly01_tmp(56)=0+j0, temp_bfly01(56)=0+j0, bfly01(56)=0+j0
bfly01_tmp(57)=0+j0, temp_bfly01(57)=0+j0, bfly01(57)=0+j0
bfly01_tmp(58)=0+j0, temp_bfly01(58)=0+j0, bfly01(58)=0+j0
bfly01_tmp(59)=0+j0, temp_bfly01(59)=0+j0, bfly01(59)=0+j0
bfly01_tmp(60)=0+j0, temp_bfly01(60)=0+j0, bfly01(60)=0+j0
bfly01_tmp(61)=0+j0, temp_bfly01(61)=0+j0, bfly01(61)=0+j0
bfly01_tmp(62)=0+j0, temp_bfly01(62)=0+j0, bfly01(62)=0+j0
bfly01_tmp(63)=0+j0, temp_bfly01(63)=0+j0, bfly01(63)=0+j0
bfly01_tmp(64)=0+j0, temp_bfly01(64)=0+j0, bfly01(64)=0+j0
bfly01_tmp(65)=0+j0, temp_bfly01(65)=0+j0, bfly01(65)=0+j0
bfly01_tmp(66)=0+j0, temp_bfly01(66)=0+j0, bfly01(66)=0+j0
bfly01_tmp(67)=0+j0, temp_bfly01(67)=0+j0, bfly01(67)=0+j0
bfly01_tmp(68)=0+j0, temp_bfly01(68)=0+j0, bfly01(68)=0+j0
bfly01_tmp(69)=0+j0, temp_bfly01(69)=0+j0, bfly01(69)=0+j0
